,khipu_id,name,pendant_sub_name,neighbor_name,handedness,pendant_value,pendant_sub_sum,neighbor_value
0,1000167,AS011,p7,p6,-1,50,-6,44
1,1000167,AS011,p9,p8,-1,27,-2,25
2,1000167,AS011,p8,p9,1,25,2,27
3,1000188,AS017,p3,p2,-1,2,-1,1
4,1000188,AS017,p12,p11,-1,1,-4,3
5,1000188,AS017,p1,p2,1,2,-1,1
6,1000188,AS017,p8,p9,1,7,-1,6
7,1000198,AS026B,p23,p22,-1,110,2,112
8,1000198,AS026B,p42,p41,-1,6,-4,2
9,1000198,AS026B,p87,p86,-1,2,-4,2
10,1000198,AS026B,p89,p88,-1,2,-3,1
11,1000198,AS026B,p90,p89,-1,2,-4,2
12,1000198,AS026B,p93,p92,-1,2,-4,2
13,1000198,AS026B,p94,p93,-1,1,1,2
14,1000198,AS026B,p101,p100,-1,4,-1,3
15,1000198,AS026B,p22,p23,1,112,-2,110
16,1000201,AS029,p5,p4,-1,19,-4,15
17,1000201,AS029,p58,p57,-1,16,-20,4
18,1000201,AS029,p7,p8,1,4,-1,3
19,1000201,AS029,p9,p10,1,51,-23,28
20,1000201,AS029,p57,p58,1,4,-20,16
21,1000229,AS048,p5,p4,-1,8,1,9
22,1000229,AS048,p4,p5,1,9,-1,8
23,1000177,AS061/MA036,p8,p7,-1,5,1,6
24,1000177,AS061/MA036,p9,p8,-1,3,2,5
25,1000177,AS061/MA036,p7,p8,1,6,-1,5
26,1000043,AS101 - Part 1,p4,p3,-1,30,-190,160
27,1000044,AS101 - Part 2,p15,p14,-1,120,-60,60
28,1000055,AS111,p3,p4,1,40,10,50
29,1000117,AS142,p1,p2,1,8,-5,3
30,1000128,AS153,p14,p13,-1,3,10,13
31,1000128,AS153,p15,p14,-1,13,-10,3
32,1000058,AS159,p11,p10,-1,18,7,25
33,1000058,AS159,p22,p21,-1,5,-1,4
34,1000058,AS159,p10,p11,1,25,-7,18
35,1000058,AS159,p17,p18,1,4,-8,4
36,1000138,AS164,p1,p2,1,22,-59,37
37,1000158,AS185,p1,p2,1,8,-9,1
38,1000159,AS186,p29,p28,-1,1,-2,1
39,1000159,AS186,p32,p31,-1,1,-2,1
40,1000159,AS186,p22,p23,1,1,1,2
41,1000159,AS186,p28,p29,1,1,-2,1
42,1000026,AS201,p6,p5,-1,5,3,8
43,1000026,AS201,p9,p8,-1,14,-8,6
44,1000028,AS205,p3,p4,1,1,1,2
45,1000030,AS207B,p6,p5,-1,9,-1,8
46,1000032,AS209,p1,p2,1,138,-15,123
47,1000017,AS210,p12,p13,1,8,-4,4
48,1000033,AS211,p12,p13,1,2,-1,1
49,1000034,AS212,p27,p26,-1,8,-1,7
50,1000034,AS212,p21,p22,1,12,-6,6
51,1000034,AS212,p40,p41,1,4,2,6
52,1000034,AS212,p42,p43,1,4,-7,3
53,1000034,AS212,p59,p60,1,5,-3,2
54,1000035,AS213,p13,p14,1,15,-5,10
55,1000012,UR002,p50,p49,-1,9,8,17
56,1000012,UR002,p52,p53,1,41,4,45
57,1000020,UR003,p279,p278,-1,5,-3,2
58,1000020,UR003,p114,p115,1,2,-1,1
59,1000020,UR003,p117,p118,1,6,-7,1
60,1000020,UR003,p163,p164,1,1,-5,4
61,1000020,UR003,p172,p173,1,1,1,2
62,1000025,UR006,p19,p18,-1,4,1,5
63,1000025,UR006,p44,p43,-1,4,-1,3
64,1000025,UR006,p18,p19,1,5,-1,4
65,1000025,UR006,p217,p218,1,1,-2,1
66,1000006,UR007,p36,p37,1,1,2,3
67,1000007,UR011,p87,p88,1,126,-20,106
68,1000011,UR014,p17,p16,-1,11,-4,7
69,1000018,UR016,p18,p17,-1,9,-2,7
70,1000018,UR016,p20,p19,-1,3,3,6
71,1000018,UR016,p30,p29,-1,57,-1,56
72,1000018,UR016,p47,p46,-1,7,-2,5
73,1000018,UR016,p67,p66,-1,3,1,4
74,1000018,UR016,p82,p81,-1,3,-1,2
75,1000018,UR016,p153,p152,-1,9,6,15
76,1000018,UR016,p162,p161,-1,1,1,2
77,1000018,UR016,p175,p174,-1,6,-1,5
78,1000018,UR016,p194,p193,-1,5,2,7
79,1000018,UR016,p207,p206,-1,4,3,7
80,1000018,UR016,p209,p208,-1,10,-2,8
81,1000018,UR016,p212,p211,-1,3,1,4
82,1000018,UR016,p19,p20,1,6,-3,3
83,1000018,UR016,p55,p56,1,4,1,5
84,1000018,UR016,p66,p67,1,4,-1,3
85,1000018,UR016,p161,p162,1,2,-1,1
86,1000018,UR016,p163,p164,1,3,1,4
87,1000018,UR016,p211,p212,1,4,-1,3
88,1000000,UR019,p10,p9,-1,20,8,28
89,1000045,UR022,p172,p171,-1,35,-22,13
90,1000045,UR022,p189,p188,-1,40,-20,20
91,1000307,UR023,p2,p3,1,3,-2,1
92,1000307,UR023,p3,p4,1,1,3,4
93,1000307,UR023,p6,p7,1,1,-2,1
94,1000306,UR024,p9,p8,-1,2,-4,2
95,1000304,UR028,p76,p75,-1,2,1,3
96,1000304,UR028,p75,p76,1,3,-1,2
97,1000305,UR029,p10,p9,-1,3,-5,2
98,1000305,UR029,p13,p12,-1,1,-2,1
99,1000305,UR029,p15,p14,-1,2,-1,1
100,1000305,UR029,p18,p17,-1,1,-2,1
101,1000305,UR029,p24,p23,-1,1,-2,1
102,1000305,UR029,p32,p31,-1,2,-4,2
103,1000305,UR029,p34,p33,-1,2,-4,2
104,1000305,UR029,p14,p15,1,1,1,2
105,1000305,UR029,p29,p30,1,1,-3,2
106,1000380,UR034,p68,p67,-1,2,4,6
107,1000380,UR034,p23,p24,1,20,-15,5
108,1000309,UR057,p15,p14,-1,2,1,3
109,1000309,UR057,p18,p17,-1,2,1,3
110,1000309,UR057,p19,p18,-1,3,-1,2
111,1000309,UR057,p21,p20,-1,2,1,3
112,1000309,UR057,p20,p21,1,3,-1,2
113,1000273,UR087,p43,p42,-1,2,-1,1
114,1000273,UR087,p98,p97,-1,1,-3,2
115,1000275,UR089,p167,p166,-1,5,-4,1
116,1000275,UR089,p160,p161,1,3,-4,1
117,1000274,UR090,p63,p62,-1,4,1,5
118,1000271,UR091,p3,p2,-1,2,-5,3
119,1000271,UR091,p9,p8,-1,5,-3,2
120,1000271,UR091,p8,p9,1,2,3,5
121,1000271,UR091,p20,p21,1,7,-2,5
122,1000321,UR093,p115,p114,-1,1,1,2
123,1000321,UR093,p117,p116,-1,20,-26,6
124,1000321,UR093,p201,p200,-1,1,1,2
125,1000321,UR093,p37,p38,1,1,1,2
126,1000321,UR093,p114,p115,1,2,-1,1
127,1000321,UR093,p178,p179,1,15,-14,1
128,1000321,UR093,p179,p180,1,1,1,2
129,1000103,UR1032,p339,p340,1,1,2,3
130,1000208,UR1040,p15,p16,1,64,1,65
131,1000230,UR1049,p51,p50,-1,4,1,5
132,1000230,UR1049,p50,p51,1,5,-1,4
133,1000230,UR1049,p57,p58,1,9,-1,8
134,1000230,UR1049,p58,p59,1,8,-1,7
135,1000170,UR1052,p7,p6,-1,1,-2,1
136,1000170,UR1052,p8,p7,-1,1,-2,1
137,1000313,UR1088,p14,p13,-1,1,-4,3
138,1000313,UR1088,p26,p25,-1,1,1,2
139,1000313,UR1088,p50,p49,-1,1,1,2
140,1000313,UR1088,p13,p14,1,3,-2,1
141,1000313,UR1088,p25,p26,1,2,-1,1
142,1000047,UR1103,p22,p23,1,60,-34,26
143,1000063,UR1114,p314,p315,1,12,2,14
144,1000083,UR1126,p2,p1,-1,20,1,21
145,1000083,UR1126,p3,p2,-1,21,-1,20
146,1000083,UR1126,p97,p96,-1,60,-20,40
147,1000083,UR1126,p1,p2,1,21,-1,20
148,1000083,UR1126,p74,p75,1,50,2,52
149,1000292,UR113,p55,p54,-1,74,69,143
150,1000292,UR113,p85,p86,1,14,-24,10
151,1000292,UR113,p95,p96,1,6,-1,5
152,1000087,UR1130,p3,p2,-1,1,-2,1
153,1000087,UR1130,p5,p4,-1,3,-1,2
154,1000087,UR1130,p12,p11,-1,1,1,2
155,1000087,UR1130,p13,p12,-1,4,-3,1
156,1000087,UR1130,p11,p12,1,2,-1,1
157,1000089,UR1131,p9,p8,-1,7,-20,13
158,1000089,UR1131,p92,p91,-1,21,15,36
159,1000089,UR1131,p105,p104,-1,44,-26,18
160,1000089,UR1131,p111,p110,-1,66,-7,59
161,1000094,UR1136,p148,p147,-1,10,-3,7
162,1000094,UR1136,p170,p169,-1,39,-6,33
163,1000094,UR1136,p158,p159,1,25,-2,23
164,1000094,UR1136,p147,p148,1,7,3,10
165,1000094,UR1136,p178,p179,1,72,-12,60
166,1000287,UR114,p27,p26,-1,1,-2,1
167,1000287,UR114,p39,p38,-1,1,-2,1
168,1000287,UR114,p26,p27,1,1,-2,1
169,1000125,UR1150,p24,p25,1,67,-4,63
170,1000126,UR1151,p6,p7,1,2,-3,1
171,1000140,UR1166,p9,p8,-1,23,-19,4
172,1000140,UR1166,p142,p141,-1,3,-10,7
173,1000285,UR116A,p55,p54,-1,2,-1,1
174,1000285,UR116A,p54,p55,1,1,1,2
175,1000147,UR1175,p211,p210,-1,40,10,50
176,1000147,UR1175,p10,p11,1,25,10,35
177,1000148,UR1176,p78,p77,-1,17,1,18
178,1000320,UR120,p29,p30,1,58,-142,84
179,1000377,UR128,p5,p6,1,20,-2,18
180,1000301,UR131B,p47,p46,-1,162,160,322
181,1000406,UR142,p3,p2,-1,352,-386,34
182,1000413,UR149,p42,p43,1,26,1,27
183,1000477,UR169,p8,p7,-1,6,-4,2
184,1000477,UR169,p14,p13,-1,8,-9,1
185,1000477,UR169,p18,p17,-1,5,-1,4
186,1000477,UR169,p25,p24,-1,4,1,5
187,1000477,UR169,p28,p27,-1,2,1,3
188,1000477,UR169,p33,p32,-1,2,3,5
189,1000477,UR169,p34,p33,-1,4,-6,2
190,1000477,UR169,p4,p5,1,41,29,70
191,1000477,UR169,p23,p24,1,4,1,5
192,1000477,UR169,p27,p28,1,3,-1,2
193,1000494,UR177,p2,p1,-1,15,-13,2
194,1000494,UR177,p1,p2,1,2,13,15
195,1000494,UR177,p15,p16,1,12,-14,2
196,1000500,UR189,p12,p11,-1,4,1,5
197,1000500,UR189,p34,p33,-1,4,-7,3
198,1000500,UR189,p39,p38,-1,1,-4,3
199,1000500,UR189,p43,p42,-1,7,-8,1
200,1000500,UR189,p44,p43,-1,8,-1,7
201,1000500,UR189,p11,p12,1,5,-1,4
202,1000500,UR189,p42,p43,1,1,-8,7
203,1000505,UR194,p4,p3,-1,19,-5,14
204,1000505,UR194,p5,p4,-1,20,-1,19
205,1000506,UR195,p73,p72,-1,12,3,15
206,1000506,UR195,p74,p75,1,1,-3,2
207,1000506,UR195,p77,p78,1,1,-3,2
208,1000507,UR196,p50,p49,-1,4,-3,1
209,1000507,UR196,p51,p50,-1,3,1,4
210,1000507,UR196,p54,p53,-1,5,-2,3
211,1000507,UR196,p64,p63,-1,2,-1,1
212,1000507,UR196,p48,p49,1,3,-2,1
213,1000507,UR196,p53,p54,1,3,2,5
214,1000509,UR198,p30,p31,1,2,10,12
215,1000509,UR198,p238,p239,1,4,-1,3
216,1000526,UR215,p34,p33,-1,20,-22,2
217,1000526,UR215,p25,p26,1,2,-4,2
218,1000526,UR215,p32,p33,1,2,-4,2
219,1000526,UR215,p131,p132,1,5,3,8
220,1000533,UR222,p16,p15,-1,1,-5,4
221,1000533,UR222,p18,p17,-1,6,-3,3
222,1000533,UR222,p14,p15,1,8,-4,4
223,1000545,UR235,p61,p60,-1,6,-11,5
224,1000545,UR235,p130,p129,-1,2,3,5
225,1000545,UR235,p55,p56,1,37,-34,3
226,1000545,UR235,p89,p90,1,6,-3,3
227,1000552,UR238,p8,p7,-1,12,-1,11
228,1000552,UR238,p31,p30,-1,2,-1,1
229,1000552,UR238,p22,p23,1,6,-1,5
230,1000552,UR238,p30,p31,1,1,1,2
231,6000000,AS001,p6,p5,-1,6,2,8
232,6000005,AS006,p16,p17,1,20,-8,12
233,6000009,AS072,p24,p25,1,90,-50,40
234,6000010,HP045,p41,p40,-1,7,-3,4
235,6000019,KH0058,p5,p4,-1,12,5,17
236,6000019,KH0058,p11,p10,-1,28,5,33
237,6000019,KH0058,p36,p35,-1,24,-1,23
238,6000019,KH0058,p4,p5,1,17,-5,12
239,6000023,KH0083,p4,p5,1,33,-23,10
240,6000025,KH0227,p2,p1,-1,3,2,5
241,6000025,KH0227,p1,p2,1,5,-2,3
242,6000034,MM007/AN002,p21,p22,1,2,-3,1
243,6000035,MM008,p5,p6,1,45,-1,44
244,6000046,MM019,p9,p8,-1,1,-3,2
245,6000058,QU009,p35,p34,-1,6,-3,3
246,6000058,QU009,p119,p118,-1,6,15,21
247,6000058,QU009,p152,p151,-1,2,2,4
248,6000060,QU011,p17,p16,-1,10,25,35
249,6000061,QU012,p114,p115,1,32,-39,7
250,6000064,QU015,p75,p76,1,1,-3,2
251,6000065,QU016,p22,p21,-1,11,5,16
252,6000068,QU019,p132,p133,1,3,1,4
253,6000070,QU021,p103,p104,1,2,-5,3
254,6000073,UR004,p192,p193,1,8,1,9
255,6000074,UR017,p57,p56,-1,3,-1,2
256,6000087,UR190,p34,p33,-1,34,-1,33
257,6000087,UR190,p135,p134,-1,33,1,34
258,6000087,UR190,p240,p239,-1,33,1,34
259,6000087,UR190,p276,p275,-1,34,-1,33
260,6000087,UR190,p33,p34,1,33,1,34
261,6000087,UR190,p134,p135,1,34,-1,33
262,6000087,UR190,p239,p240,1,34,-1,33
263,6000087,UR190,p275,p276,1,33,1,34
264,6000088,UR193,p78,p77,-1,14,16,30
265,6000088,UR193,p80,p79,-1,66,-72,6
266,6000091,UR280,p31,p30,-1,3,-55,52
